instruction,action
Only keep one copy when the same record occurs multiple times,remove_duplicates
Some entries are repeated; keep a single instance of each,remove_duplicates
Deduplicate the table so every record is unique,remove_duplicates
There are repeated observations here and I only need one of each,remove_duplicates
Collapse identical records down to a single row,remove_duplicates
Make sure no exact record appears more than once,remove_duplicates
Clean up repeated observations across the dataset,remove_duplicates
"Where rows are identical, retain just the first one",remove_duplicates
I found the same records listed several times; keep one copy,remove_duplicates
The table should contain unique records only,remove_duplicates
Consolidate exact row repeats into one occurrence,remove_duplicates
Strip out extra copies of identical entries,remove_duplicates
Discard any record that is incomplete,remove_missing_rows
Rows with at least one blank cell should not remain,remove_missing_rows
Keep only records where every field has a value,remove_missing_rows
Any observation with unavailable data can be thrown away,remove_missing_rows
Filter out incomplete entries from the table,remove_missing_rows
I only want fully populated rows,remove_missing_rows
Exclude records containing nulls anywhere,remove_missing_rows
Get the table down to rows with no gaps in their data,remove_missing_rows
Any row with an unanswered field should be omitted,remove_missing_rows
Clear out observations that are missing information,remove_missing_rows
Retain records only when all columns are populated,remove_missing_rows
Incomplete observations should be left out of the result,remove_missing_rows
"For COLUMN, use its arithmetic average wherever data is absent",fill_missing_with_mean
Impute gaps in COLUMN using the average of the available values,fill_missing_with_mean
"When COLUMN is blank, substitute the column's mean",fill_missing_with_mean
Calculate COLUMN's average and put it into the missing spots,fill_missing_with_mean
Use the arithmetic mean of COLUMN to complete its gaps,fill_missing_with_mean
Missing entries for COLUMN should take the average observed value,fill_missing_with_mean
Patch absent COLUMN values with that field's mean,fill_missing_with_mean
"For empty cells in COLUMN, insert the calculated average",fill_missing_with_mean
Complete COLUMN by averaging its known values and using that result for gaps,fill_missing_with_mean
Impute nulls in COLUMN with the mean calculated from nonmissing entries,fill_missing_with_mean
"Where COLUMN has no value, use the average for that field",fill_missing_with_mean
Fill the holes in COLUMN using its arithmetic mean,fill_missing_with_mean
"For COLUMN, use the middle observed value wherever data is absent",fill_missing_with_median
Impute gaps in COLUMN using the median of its known values,fill_missing_with_median
"When COLUMN is blank, substitute the column's median",fill_missing_with_median
Find the median for COLUMN and put it into the missing spots,fill_missing_with_median
Use the central value of COLUMN to complete its gaps,fill_missing_with_median
Missing entries for COLUMN should take the median observed value,fill_missing_with_median
Patch absent COLUMN values with that field's median,fill_missing_with_median
"For empty cells in COLUMN, insert the calculated median",fill_missing_with_median
Complete COLUMN using its median wherever values are unavailable,fill_missing_with_median
Impute nulls in COLUMN with the median calculated from nonmissing entries,fill_missing_with_median
"Where COLUMN has no value, use the middle value for that field",fill_missing_with_median
Fill the holes in COLUMN using its median rather than the average,fill_missing_with_median
"COLUMN is unnecessary, so take it out of the table",drop_column
The result should not contain COLUMN at all,drop_column
Exclude COLUMN from the final dataset,drop_column
I do not need the field called COLUMN,drop_column
Leave COLUMN out when producing the cleaned table,drop_column
Get rid of COLUMN entirely,drop_column
COLUMN should be omitted from the output,drop_column
Take COLUMN out but leave the other fields alone,drop_column
The COLUMN field can be discarded,drop_column
Produce the data without COLUMN,drop_column
COLUMN is irrelevant for my analysis; take it out,drop_column
Remove that field named COLUMN from the schema,drop_column
I want COLUMN to be called NEW_COLUMN instead,rename_column
Use NEW_COLUMN as the label for COLUMN,rename_column
The field currently named COLUMN should be labeled NEW_COLUMN,rename_column
Switch the header COLUMN over to NEW_COLUMN,rename_column
COLUMN needs a new header: NEW_COLUMN,rename_column
Refer to COLUMN as NEW_COLUMN from now on,rename_column
Update the COLUMN header so it reads NEW_COLUMN,rename_column
The existing COLUMN field should carry the name NEW_COLUMN,rename_column
Make NEW_COLUMN the new label for COLUMN,rename_column
Re-label COLUMN with the header NEW_COLUMN,rename_column
COLUMN should appear under the name NEW_COLUMN,rename_column
Give the existing field COLUMN the label NEW_COLUMN,rename_column
